"filename","file_type","sample_name","size","download"
"E9.5_E1S1.MOSTA.h5ad","h5ad","E9.5_E1S1","442M","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E9.5_E1S1.MOSTA.h5ad"
"E9.5_E2S1.MOSTA.h5ad","h5ad","E9.5_E2S1","381M","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E9.5_E2S1.MOSTA.h5ad"
"E9.5_E2S2.MOSTA.h5ad","h5ad","E9.5_E2S2","292M","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E9.5_E2S2.MOSTA.h5ad"
"E9.5_E2S3.MOSTA.h5ad","h5ad","E9.5_E2S3","350M","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E9.5_E2S3.MOSTA.h5ad"
"E9.5_E2S4.MOSTA.h5ad","h5ad","E9.5_E2S4","297M","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E9.5_E2S4.MOSTA.h5ad"
"E10.5_E1S1.MOSTA.h5ad","h5ad","E10.5_E1S1","1.4G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E10.5_E1S1.MOSTA.h5ad"
"E10.5_E1S2.MOSTA.h5ad","h5ad","E10.5_E1S2","944M","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E10.5_E1S2.MOSTA.h5ad"
"E10.5_E1S3.MOSTA.h5ad","h5ad","E10.5_E1S3","1.4G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E10.5_E1S3.MOSTA.h5ad"
"E10.5_E2S1.MOSTA.h5ad","h5ad","E10.5_E2S1","382M","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E10.5_E2S1.MOSTA.h5ad"
"E11.5_E1S1.MOSTA.h5ad","h5ad","E11.5_E1S1","1.7G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E11.5_E1S1.MOSTA.h5ad"
"E11.5_E1S2.MOSTA.h5ad","h5ad","E11.5_E1S2","1.2G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E11.5_E1S2.MOSTA.h5ad"
"E11.5_E1S3.MOSTA.h5ad","h5ad","E11.5_E1S3","1.1G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E11.5_E1S3.MOSTA.h5ad"
"E11.5_E1S4.MOSTA.h5ad","h5ad","E11.5_E1S4","1.5G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E11.5_E1S4.MOSTA.h5ad"
"E12.5_E1S1.MOSTA.h5ad","h5ad","E12.5_E1S1","2.6G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E12.5_E1S1.MOSTA.h5ad"
"E12.5_E1S2.MOSTA.h5ad","h5ad","E12.5_E1S2","2.2G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E12.5_E1S2.MOSTA.h5ad"
"E12.5_E1S3.MOSTA.h5ad","h5ad","E12.5_E1S3","1.4G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E12.5_E1S3.MOSTA.h5ad"
"E12.5_E1S4.MOSTA.h5ad","h5ad","E12.5_E1S4","2.4G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E12.5_E1S4.MOSTA.h5ad"
"E12.5_E1S5.MOSTA.h5ad","h5ad","E12.5_E1S5","2.0G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E12.5_E1S5.MOSTA.h5ad"
"E12.5_E2S1.MOSTA.h5ad","h5ad","E12.5_E2S1","1.3G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E12.5_E2S1.MOSTA.h5ad"
"E13.5_E1S1.MOSTA.h5ad","h5ad","E13.5_E1S1","3.3G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E13.5_E1S1.MOSTA.h5ad"
"E13.5_E1S2.MOSTA.h5ad","h5ad","E13.5_E1S2","4.2G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E13.5_E1S2.MOSTA.h5ad"
"E13.5_E1S3.MOSTA.h5ad","h5ad","E13.5_E1S3","4.2G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E13.5_E1S3.MOSTA.h5ad"
"E13.5_E1S4.MOSTA.h5ad","h5ad","E13.5_E1S4","3.1G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E13.5_E1S4.MOSTA.h5ad"
"E14.5_E1S1.MOSTA.h5ad","h5ad","E14.5_E1S1","5.8G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E14.5_E1S1.MOSTA.h5ad"
"E14.5_E1S2.MOSTA.h5ad","h5ad","E14.5_E1S2","4.3G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E14.5_E1S2.MOSTA.h5ad"
"E14.5_E1S3.MOSTA.h5ad","h5ad","E14.5_E1S3","2.1G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E14.5_E1S3.MOSTA.h5ad"
"E14.5_E1S4.MOSTA.h5ad","h5ad","E14.5_E1S4","4.9G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E14.5_E1S4.MOSTA.h5ad"
"E14.5_E1S5.MOSTA.h5ad","h5ad","E14.5_E1S5","4.3G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E14.5_E1S5.MOSTA.h5ad"
"E14.5_E2S1.MOSTA.h5ad","h5ad","E14.5_E2S1","2.1G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E14.5_E2S1.MOSTA.h5ad"
"E14.5_E2S2.MOSTA.h5ad","h5ad","E14.5_E2S2","3.6G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E14.5_E2S2.MOSTA.h5ad"
"E15.5_E1S1.MOSTA.h5ad","h5ad","E15.5_E1S1","4.1G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E15.5_E1S1.MOSTA.h5ad"
"E15.5_E1S2.MOSTA.h5ad","h5ad","E15.5_E1S2","3.6G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E15.5_E1S2.MOSTA.h5ad"
"E15.5_E1S3.MOSTA.h5ad","h5ad","E15.5_E1S3","4.6G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E15.5_E1S3.MOSTA.h5ad"
"E15.5_E1S4.MOSTA.h5ad","h5ad","E15.5_E1S4","3.4G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E15.5_E1S4.MOSTA.h5ad"
"E15.5_E2S1.MOSTA.h5ad","h5ad","E15.5_E2S1","3.0G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E15.5_E2S1.MOSTA.h5ad"
"E16.5_E1S1.MOSTA.h5ad","h5ad","E16.5_E1S1","4.5G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E16.5_E1S1.MOSTA.h5ad"
"E16.5_E1S2.MOSTA.h5ad","h5ad","E16.5_E1S2","3.6G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E16.5_E1S2.MOSTA.h5ad"
"E16.5_E1S3.MOSTA.h5ad","h5ad","E16.5_E1S3","5.3G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E16.5_E1S3.MOSTA.h5ad"
"E16.5_E1S4.MOSTA.h5ad","h5ad","E16.5_E1S4","4.5G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E16.5_E1S4.MOSTA.h5ad"
"E16.5_E1S5.MOSTA.h5ad","h5ad","E16.5_E1S5","4.1G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E16.5_E1S5.MOSTA.h5ad"
"E16.5_E2S10.MOSTA.h5ad","h5ad","E16.5_E2S10","3.4G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E16.5_E2S10.MOSTA.h5ad"
"E16.5_E2S11.MOSTA.h5ad","h5ad","E16.5_E2S11","3.1G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E16.5_E2S11.MOSTA.h5ad"
"E16.5_E2S12.MOSTA.h5ad","h5ad","E16.5_E2S12","2.5G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E16.5_E2S12.MOSTA.h5ad"
"E16.5_E2S13.MOSTA.h5ad","h5ad","E16.5_E2S13","2.6G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E16.5_E2S13.MOSTA.h5ad"
"E16.5_E2S1.MOSTA.h5ad","h5ad","E16.5_E2S1","2.1G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E16.5_E2S1.MOSTA.h5ad"
"E16.5_E2S2.MOSTA.h5ad","h5ad","E16.5_E2S2","2.9G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E16.5_E2S2.MOSTA.h5ad"
"E16.5_E2S3.MOSTA.h5ad","h5ad","E16.5_E2S3","2.8G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E16.5_E2S3.MOSTA.h5ad"
"E16.5_E2S4.MOSTA.h5ad","h5ad","E16.5_E2S4","2.9G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E16.5_E2S4.MOSTA.h5ad"
"E16.5_E2S5.MOSTA.h5ad","h5ad","E16.5_E2S5","4.1G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E16.5_E2S5.MOSTA.h5ad"
"E16.5_E2S6.MOSTA.h5ad","h5ad","E16.5_E2S6","3.7G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E16.5_E2S6.MOSTA.h5ad"
"E16.5_E2S7.MOSTA.h5ad","h5ad","E16.5_E2S7","4.3G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E16.5_E2S7.MOSTA.h5ad"
"E16.5_E2S8.MOSTA.h5ad","h5ad","E16.5_E2S8","4.0G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E16.5_E2S8.MOSTA.h5ad"
"E16.5_E2S9.MOSTA.h5ad","h5ad","E16.5_E2S9","5.0G","https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000058/stomics/E16.5_E2S9.MOSTA.h5ad"